"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
2014,"Charlestown","Charlestown",160,220,3874225,18741703
2014,"Chinatown","Chinatown",167,228,7197352,20435315
2014,"Dorchester","Dorchester",428,567,19132465,19334028
2014,"Downtown","Downtown",669,967,26980287,83534309
2014,"East Boston","East Boston",157,182,9438864,7193223
2014,"Fenway","Fenway",179,180,10167213,5897281
2014,"Hyde Park","Hyde Park",157,165,9719569,9022134
2014,"Jamaica Plain","Jamaica Plain",238,260,7302233,9160369
2014,"Longwood","Longwood",4,10,1467828,431569
2014,"Mattapan","Mattapan",70,74,3696157,4175952
2014,"Mission Hill","Mission Hill",66,52,3542008,4060561
2014,"North End","North End",216,283,11329978,21698470
2014,"Roslindale","Roslindale",164,176,9625316,5558471
2014,"Roxbury","Roxbury",157,244,10733214,14296413
2014,"South Boston","South Boston",328,406,16927077,32393663
2014,"South Boston Waterfront","South Boston Waterfront",52,115,2883037,13272237
2014,"South End","South End",352,492,9898887,25835163
2014,"West End","West End",100,138,1926602,10013877
2014,"West Roxbury","West Roxbury",226,236,4435635,9571179
2015,"Allston","Allston",213,241,4718280,17889671
2015,"Back Bay","Back Bay",468,552,17000065,54578054
2015,"Beacon Hill","Beacon Hill",112,107,3036917,6911178
2015,"Brighton","Brighton",302,276,9100371,16026477
2015,"Charlestown","Charlestown",166,223,5421743,13691444
2015,"Chinatown","Chinatown",189,261,7006955,22272489
2015,"Dorchester","Dorchester",576,510,19702291,23808737
2015,"Downtown","Downtown",743,1082,28217910,93123894
2015,"East Boston","East Boston",204,219,4431256,11133715
2015,"Fenway","Fenway",203,185,9193497,6166460
2015,"Hyde Park","Hyde Park",197,160,13181380,10569311
2015,"Jamaica Plain","Jamaica Plain",296,262,8033356,10271878
2015,"Longwood","Longwood",6,16,102507,1033713
2015,"Mattapan","Mattapan",102,79,1474615,4023699
2015,"Mission Hill","Mission Hill",59,55,1231347,1466754
2015,"North End","North End",216,287,9484135,21690963
2015,"Roslindale","Roslindale",183,151,4915792,6583720
2015,"Roxbury","Roxbury",212,236,5346192,11925597
2015,"South Boston","South Boston",364,423,14093399,37542265
2015,"South Boston Waterfront","South Boston Waterfront",70,120,3214187,17739749
2015,"South End","South End",402,463,10464565,23781753
2015,"West End","West End",99,112,1641343,10680463
2015,"West Roxbury","West Roxbury",252,221,7811508,8529056
2016,"Allston","Allston",277,303,13585609,13938326
2016,"Back Bay","Back Bay",514,671,20696329,55536167
2016,"Beacon Hill","Beacon Hill",133,157,3789245,7723621
2016,"Brighton","Brighton",376,342,13768425,14401133
2016,"Charlestown","Charlestown",173,288,4036821,18615720
